Publication,StudyID,ES.ID,Taxon,Invertebrate.type,Trait,Function,Country,Climate,Ecosystem,Design,Habitat,Site.history,Fauna.manipulation,Mesh.size,Litter,Litter.identity,Units,Duration,SS.experimental,SS.control,Std.dev.experimental,Std.dev.control,Mean.experimental,Mean.control
Xin et al. 2009,93,357,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,2 - 1 mm,Litter,Lepedeza davurica,prop. decom,365 d,4,4,4.48,8.46,11.72,12
Xin et al. 2009,93,358,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,4.7 - 2 mm,Litter,Stipa baicalensis,prop. decom,365 d,4,4,5.42,2.88,23,25.12
Xin et al. 2009,93,359,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,2 - 1 mm,Litter,Agropyron cristatum,prop. decom,365 d,4,4,7.48,4.74,34.01,23.31
Xin et al. 2009,93,360,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,4.7 - 2 mm,Litter,Achnatherum avinoides,prop. decom,365 d,4,4,10.26,19.66,23.56,24.48
Xin et al. 2009,93,361,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,4.7 - 2 mm,Litter,Lepedeza davurica,prop. decom,365 d,4,4,15.08,4.48,18.49,11.72
Xin et al. 2009,93,362,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Woodland,Field study,Litter,Elm woodland,Litter bag exclusion,2 - 1 mm,Litter,Achnatherum avinoides,prop. decom,365 d,4,4,19.66,4.18,24.48,12.77
Yang et al. 2009,94,363,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Tropical rainforest,Litter bag exclusion,2 - 0.15 mm,Litter,Mixed litter,prop. decom,360 d,10,10,3.193900437,3.193900437,84.871,42.425
Yang et al. 2009,94,364,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Tropical,Woodland,Field study,Litter,Broad-leaf forest,Litter bag exclusion,2 - 0.15 mm,Litter,Mixed litter,prop. decom,360 d,10,10,3.301417877,3.301417877,64.728,60.099
Yang et al. 2018,95,365,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-plantation,Litter bag exclusion,1 - 0.01 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,1.802,2.576,50.221,39.667
Yang et al. 2018,95,366,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Cropland,Litter bag exclusion,5 - 1 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,2.374,2.374,57.843,54.988
Yang et al. 2018,95,367,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Cropland,Litter bag exclusion,1 - 0.01 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,2.374,9.274,54.988,44.421
Yang et al. 2018,95,368,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-crop agroforestry,Litter bag exclusion,5 - 1 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,2.832,3.388,54.103,53.074
Yang et al. 2018,95,369,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-plantation,Litter bag exclusion,5 - 1 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,2.844,1.802,52.404,50.221
Yang et al. 2018,95,370,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,China,Temperate,Agriculture,Field study,Litter,Poplar-crop agroforestry,Litter bag exclusion,1 - 0.01 mm,Litter,Populus deltoids,prop. decom,365 d,4,4,3.388,2.076,53.074,42.373
Yanoviak 1999,96,371,Mecistogaster sp.,Predator,Hunting predators,Predators,Panama,Tropical,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation,NA,Litter,Platypodium elegans,prop. decom,31 d,6,6,3.733022368,2.95408463,44.532,49.383
Yanoviak 1999,96,372,Culex mollis,Leaf-chewing Diptera,Leaf chewers,Herbivores,USA,Temperate,Woodland,Mesocosm,Litter,Laboratory,Fauna manipulation,NA,Litter,Platypodium elegans,prop. decom,31 d,6,6,3.733022368,3.341104009,44.532,43.049
Zwahlen et al. 2007,97,373,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion,5 - 0.125 mm,Litter,Zea mays bt,prop. decom,270 d,6,6,6.549935572,6.549935572,92.002,89.869
Zwahlen et al. 2007,97,374,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion,5 - 0.125 mm,Litter,Zea mays non-bt,prop. decom,270 d,6,6,6.549935572,6.549935572,92.514,89.878
Zwahlen et al. 2007,97,375,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion,0.125 - 0.02 mm,Litter,Zea mays bt,prop. decom,270 d,6,6,6.549935572,7.23334321,89.869,76.472
Zwahlen et al. 2007,97,376,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Switzerland,Temperate,Agriculture,Field study,Soil,Maize cropfield,Litter bag exclusion,0.125 - 0.02 mm,Litter,Zea mays non-bt,prop. decom,270 d,6,6,6.549935572,7.23334321,89.878,63.383
Song et al. 2020,98,377,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Grassland,Field study,Soil,Upland grassland,Litter bag exclusion,1 - 0.042 mm,Litter,Trifolium repens,prop. decom,365 d,3,3,2.25,1.56,85.9,70.39
Song et al. 2020,98,378,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,China,Temperate,Grassland,Field study,Soil,Upland grassland,Litter bag exclusion,1 - 0.042 mm,Litter,Lolium perenne,prop. decom,365 d,3,3,1.78,2,72.95,65.96
Stoklosa et al. 2016,99,379,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,USA,Tropical,Woodland,Field study,Litter,Subtropical forest,Litter bag exclusion,1 - 0.3 mm,Wood,Triadica sebifera,prop. decom,600 d,5,5,26.28497908,16.97622809,59.02,24.981
Patoine et al. 2020,100,380,Macro-invertebrate,Arthropod,Macro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,NA,Hardwood forest,Litter bag exclusion,5 - 1 mm,Litter,Mixed,prop. decom,660 d,4,4,4.720918367,3.864795918,83.194,70.589
Patoine et al. 2020,100,381,Micro-invertebrate,Arthropod,Micro-invertebrate,Decomposers,Germany,Temperate,Woodland,Field study,NA,Hardwood forest,Litter bag exclusion,1 - 0.2 mm,Litter,Mixed,prop. decom,660 d,4,4,3.864795918,4.501530612,70.589,62.184
Yang et al. 2020,101,382,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Catalpa bungei,prop. decom,90 d,4,4,3.953,4.61,94.298,30.483
Yang et al. 2020,101,383,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Catalpa bungei,prop. decom,90 d,4,4,1.535,4.61,98.246,30.483
Yang et al. 2020,101,384,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Plantus aceriflora,prop. decom,90 d,4,4,3.735,8.775,88.377,11.406
Yang et al. 2020,101,385,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Plantus aceriflora,prop. decom,90 d,4,4,5.044,8.775,93.859,11.406
Yang et al. 2020,101,386,Porcellionidae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Aesculus chinensis,prop. decom,90 d,4,4,8.783,0.439,67.105,2.632
Yang et al. 2020,101,387,Armadillididae,Isopod,Detritus shredders,Decomposers,China,Temperate,Woodland,Mesocosm,Litter,Semi-humid temperate forest,Faunal addition,NA,Litter,Aesculus chinensis,prop. decom,90 d,4,4,5.268,0.439,68.202,2.632
